2024-07-29 10:36:28 CPU: 0%, Memory: 11.3629%
2024-07-29 10:36:30 CPU: 1.6%, Memory: 11.3705%
2024-07-29 10:36:32 CPU: 0%, Memory: 11.3699%
2024-07-29 10:36:34 CPU: 1.6%, Memory: 11.3729%
2024-07-29 10:36:37 CPU: 1.6%, Memory: 11.3697%
2024-07-29 10:36:39 CPU: 0%, Memory: 11.3604%
2024-07-29 10:36:41 CPU: 3.2%, Memory: 11.366%
2024-07-29 10:36:43 CPU: 1.6%, Memory: 11.3595%
2024-07-29 10:36:45 CPU: 0%, Memory: 11.3562%
2024-07-29 10:36:47 CPU: 0%, Memory: 11.3606%
2024-07-29 10:36:50 CPU: 0%, Memory: 11.3542%
2024-07-29 10:36:52 CPU: 0%, Memory: 11.3588%
2024-07-29 10:38:13 CPU: 0%, Memory: 11.3787%
2024-07-29 10:38:15 CPU: 1.6%, Memory: 11.3742%
2024-07-29 10:38:17 CPU: 0%, Memory: 11.3806%
2024-07-29 10:38:20 CPU: 1.6%, Memory: 11.374%
2024-07-29 10:38:22 CPU: 0%, Memory: 11.3772%
2024-07-29 10:38:24 CPU: 1.6%, Memory: 11.3804%
2024-07-29 10:38:26 CPU: 0%, Memory: 11.3835%
2024-07-29 10:38:28 CPU: 4.9%, Memory: 11.3848%
2024-07-29 10:38:30 CPU: 3.2%, Memory: 11.3816%
2024-07-29 10:38:33 CPU: 1.6%, Memory: 11.3803%
2024-07-29 10:38:35 CPU: 0%, Memory: 11.3834%
2024-07-29 10:38:37 CPU: 0%, Memory: 11.3834%
2024-07-29 10:38:39 CPU: 1.6%, Memory: 11.3611%
2024-07-29 10:38:41 CPU: 0%, Memory: 11.3624%
2024-07-29 10:38:44 CPU: 1.6%, Memory: 11.3611%
2024-07-29 10:38:46 CPU: 0%, Memory: 11.3688%
2024-07-29 10:38:48 CPU: 0%, Memory: 11.3688%
2024-07-29 10:38:50 CPU: 0%, Memory: 11.3686%
2024-07-29 10:38:52 CPU: 1.6%, Memory: 11.3653%
2024-07-29 10:38:55 CPU: 1.6%, Memory: 11.3716%
2024-07-29 10:38:57 CPU: 3.2%, Memory: 11.3716%
2024-07-29 10:38:59 CPU: 1.6%, Memory: 11.3715%
2024-07-29 10:39:01 CPU: 0%, Memory: 11.3715%
2024-07-29 10:39:03 CPU: 1.6%, Memory: 11.3715%
2024-07-29 10:39:06 CPU: 1.6%, Memory: 11.3714%
2024-07-29 10:39:08 CPU: 0%, Memory: 11.3682%
2024-07-29 10:39:10 CPU: 0%, Memory: 11.3682%
2024-07-29 10:39:12 CPU: 0%, Memory: 11.3682%
2024-07-29 10:39:14 CPU: 1.6%, Memory: 11.3711%
2024-07-29 10:39:16 CPU: 0%, Memory: 11.3711%
2024-07-29 10:39:19 CPU: 4.8%, Memory: 11.371%
2024-07-29 10:39:21 CPU: 0%, Memory: 11.371%
2024-07-29 10:39:23 CPU: 0%, Memory: 11.371%
2024-07-29 10:39:25 CPU: 0%, Memory: 11.3709%
2024-07-29 10:39:27 CPU: 1.6%, Memory: 11.3709%
2024-07-29 10:39:30 CPU: 0%, Memory: 11.3709%
2024-07-29 10:39:32 CPU: 0%, Memory: 11.3708%
2024-07-29 10:39:34 CPU: 0%, Memory: 11.3708%
2024-07-29 10:39:36 CPU: 1.6%, Memory: 11.3708%
2024-07-29 10:39:38 CPU: 3.1%, Memory: 11.3675%
2024-07-29 10:39:41 CPU: 4.6%, Memory: 11.3675%
2024-07-29 10:39:43 CPU: 1.6%, Memory: 11.3445%
2024-07-29 10:39:45 CPU: 1.6%, Memory: 11.2874%
2024-07-29 10:39:47 CPU: 0%, Memory: 11.286%
2024-07-29 10:39:49 CPU: 1.6%, Memory: 11.286%
2024-07-29 10:39:52 CPU: 1.6%, Memory: 11.285%
2024-07-29 10:39:54 CPU: 1.6%, Memory: 11.2914%
